D	 R	 Reg Runtime	Reg Soln	Prun Run	Prun Soln	Decop Run	Decomp Soln	Decomp+Prun	Decomp+Prun Soln
6	 7 	 2.477451	325.800000	2.599803	325.800000	1.557839	325.800000	1.547200	325.800000
6	 8 	 2.226709	321.800000	1.863150	321.800000	1.769387	368.200000	1.441139	368.200000
6	 9 	 4.021389	232.200000	3.730109	232.200000	1.475931	232.200000	1.340343	232.200000
6	 10 	 8.645214	335.600000	7.900426	335.600000	8.466242	335.600000	7.236899	335.600000
6	 11 	 4.653130	337.800000	4.512610	337.800000	2.246060	337.800000	1.974189	337.800000
6	 12 	 6.585196	433.800000	6.053180	433.800000	6.322504	433.800000	5.692528	433.800000
6	 13 	 7.978896	456.200000	7.588177	456.200000	2.654052	456.200000	2.886078	456.200000
6	 14 	 82.799631	556.800000	17.542795	556.800000	91.437321	556.800000	18.406656	556.800000
6	 15 	 7.992727	789.000000	7.096331	789.000000	6.836094	789.000000	6.569309	789.000000
6	 16 	 13.376611	661.200000	13.706499	661.200000	13.355498	661.200000	13.883405	661.200000
6	 5 	 1.448623	179.200000	1.423258	179.200000	1.355543	179.200000	1.055167	179.200000
6	 6 	 1.124872	334.200000	1.122301	334.200000	0.344940	334.200000	0.338154	334.200000
6	 7 	 1.569657	407.400000	1.761820	407.400000	1.386916	407.400000	1.296888	407.400000
6	 8 	 1.892320	423.600000	1.698106	423.600000	0.817024	423.600000	0.697803	423.600000
6	 9 	 3.824187	256.600000	3.329138	256.600000	1.704958	256.600000	1.272581	256.600000
6	 10 	 2.797476	438.200000	3.041831	438.200000	3.318065	438.200000	3.221824	438.200000
6	 11 	 6.541523	447.800000	5.609792	447.800000	2.495417	447.800000	1.870242	447.800000
6	 12 	 9.586073	446.200000	8.416806	446.200000	10.180438	446.200000	8.240554	446.200000
6	 13 	 68.087303	455.800000	64.858347	455.800000	72.591137	455.800000	67.890379	455.800000
6	 5 	 1.380421	124.800000	1.408719	124.800000	0.422059	124.800000	0.449582	124.800000
6	 6 	 1.702524	225.400000	1.670085	225.400000	0.788010	225.400000	0.799573	225.400000
6	 5 	 1.227436	224.400000	1.050933	224.400000	0.502452	224.400000	0.427393	224.400000
6	 6 	 1.542259	128.400000	1.378213	128.400000	0.663574	128.400000	0.604699	128.400000
6	 7 	 2.307230	238.000000	2.110976	238.000000	0.872387	238.000000	0.796444	238.000000
6	 8 	 2.313009	250.400000	2.218676	250.400000	1.115400	250.400000	1.086411	250.400000
6	 9 	 3.264820	265.600000	2.882953	265.600000	1.343310	265.600000	1.102545	265.600000
6	 10 	 7.795115	233.000000	5.966484	233.000000	7.695127	233.000000	5.958112	233.000000
6	 11 	 12.193627	348.000000	7.339070	348.000000	3.042939	348.000000	2.863842	348.000000
6	 12 	 17.804339	294.600000	15.956587	294.600000	17.761471	294.600000	15.929882	294.600000
6	 13 	 14.905641	391.400000	11.956953	391.400000	14.065382	391.400000	12.021742	391.400000
6	 14 	 145.528082	448.400000	72.722001	448.400000	150.477292	448.400000	87.334080	448.400000
6	 15 	 12.570852	496.200000	11.050978	496.200000	12.527970	496.200000	11.044893	496.200000
6	 16 	 10.518470	576.800000	6.860536	576.800000	8.160303	576.800000	6.696541	576.800000
6	 17 	 84.280670	605.200000	60.504503	605.200000	76.843503	605.200000	64.085504	605.200000
6	 18 	 193.645416	755.200000	147.101248	755.200000	194.838635	755.200000	185.395523	755.200000
6	 19 	 111.135229	848.200000	110.447210	848.200000	111.269337	848.200000	110.539249	848.200000
6	 20 	 65.525410	861.000000	66.787859	861.000000	74.821655	861.000000	92.009640	861.000000
6	 21 	 221.640703	955.000000	153.650358	955.000000	263.722956	955.000000	134.155826	955.000000
6	 22 	 893.128912	907.600000	1704.995309	907.600000	1040.862532	907.600000	959.738949	907.600000
6	 23 	 209.768683	968.600000	220.884565	968.600000	217.009874	968.600000	213.318620	968.600000
6	 24 	 1134.338901	923.400000	1434.976195	923.400000	1412.689619	923.400000	1967.633736	923.400000
6	 25 	 17042.304010	1074.200000	9311.938842	1074.200000	11496.761918	1074.200000	10122.706171	1074.200000
6	 26 	 183.738062	1165.400000	125.399489	1165.400000	134.760792	1165.400000	105.504048	1165.400000
6	 5 	 1.776950	134.200000	1.776656	134.200000	0.674743	134.200000	0.681667	134.200000
6	 6 	 2.125172	129.600000	1.986514	129.600000	0.874699	129.600000	0.854119	129.600000
6	 7 	 2.767912	240.800000	2.603262	240.800000	1.145200	240.800000	1.288710	240.800000
6	 8 	 3.091323	336.800000	3.505090	336.800000	3.277541	455.800000	2.865081	455.800000
6	 9 	 2.929271	342.600000	2.660107	342.600000	1.100726	342.600000	0.983781	342.600000
6	 10 	 7.521550	243.800000	6.653666	243.800000	7.452795	243.800000	6.620563	243.800000
6	 11 	 10.054278	338.800000	9.876213	338.800000	10.087271	338.800000	9.853186	338.800000
6	 12 	 4.971172	356.800000	4.212151	356.800000	2.787692	356.800000	1.983026	356.800000
6	 13 	 11.665602	395.800000	8.886714	395.800000	9.531150	622.200000	8.116434	622.200000
6	 14 	 22.506077	450.600000	20.633524	450.600000	22.592320	450.600000	20.595988	450.600000
6	 15 	 20.037272	651.200000	10.305754	651.200000	5.673055	651.200000	5.040618	651.200000
6	 16 	 614.847636	395.600000	354.632855	395.600000	615.600135	395.600000	354.011734	395.600000
6	 17 	 2418.127298	607.000000	4606.490252	607.000000	1276.613974	1037.800000	5344.895295	1037.800000
6	 18 	 57.877168	667.200000	22.665599	667.200000	40.979497	667.200000	15.926512	667.200000
6	 19 	 32.627630	840.000000	24.114750	840.000000	20.983084	840.000000	14.531106	840.000000
6	 20 	 72.233688	793.000000	43.498094	793.000000	164.115609	793.000000	56.331377	793.000000
6	 21 	 26527.940509	754.400000	14350.385619	754.400000	28302.456946	754.400000	18173.085970	754.400000
6	 22 	 161.791446	1008.400000	201.132307	1008.400000	160.321144	1008.400000	200.462609	1008.400000
6	 23 	 2491.549444	972.600000	3562.208216	972.600000	2485.805702	972.600000	3566.295505	972.600000
6	 24 	 1790.062687	916.800000	644.398105	916.800000	2377.220310	1805.200000	1083.361588	1805.200000
6	 25 	 211.714803	1078.800000	174.157127	1078.800000	206.040194	1078.800000	149.916570	1078.800000
6	 26 	 1957.047368	1108.000000	1516.906370	1108.000000	9385.450153	2042.200000	5445.387262	2042.200000
4	 5 	 0.571964	93.600000	0.608881	93.600000	0.554494	93.600000	0.873855	93.600000
4	 6 	 0.839732	205.600000	0.913255	205.600000	0.370694	205.600000	0.689060	205.600000
4	 7 	 0.981661	300.600000	0.927773	300.600000	0.436757	300.600000	0.748143	300.600000
4	 8 	 1.545518	300.600000	1.510960	300.600000	0.718731	300.600000	1.119075	300.600000
4	 9 	 2.397517	295.200000	2.387430	295.200000	0.976880	295.200000	1.361835	295.200000
4	 10 	 3.359750	324.600000	3.103230	324.600000	3.568851	324.600000	3.255049	324.600000
4	 11 	 5.903999	299.800000	4.801327	299.800000	5.995923	299.800000	5.531217	299.800000
4	 12 	 8.215669	430.000000	8.487771	430.000000	9.990905	430.000000	14.336705	430.000000
4	 13 	 10.991290	425.400000	7.360080	425.400000	4.191385	425.400000	6.623622	425.400000
